task_id,method,variant,dataset_id,output_path,metadata_difference,initial_calls,repair_calls,total_internal_calls,files_complete,prompt_variant_verified,scenario_and_cqs_unchanged,verification_result
a2_001_53103539d829,ontogenia,P1,project2_12_6b51d431df,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_002_039ff84ce75b,ontogenia,P1,project2_5_ef2d127de3,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P1/seed_42,prompt_hash differs,3,0,3,true,true,true,verified
a2_003_7e1f9991ad9a,ontogenia,P1,project2_11_4fc82b26ae,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_004_0ed9a511daba,ontogenia,P1,project2_6_e7f6c01177,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_005_b1b8a4e6b14c,ontogenia,P1,project2_3_4e07408562,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_006_2fa58ae6ea7d,ontogenia,P1,project2_4_4b227777d4,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_007_d05d7de04946,ontogenia,P1,project2_15_e629fa6598,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_008_29bb8854c379,ontogenia,P1,project2_2_d4735e3a26,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_009_bd6d03cc9e49,ontogenia,P1,project2_14_8527a891e2,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_010_ebb11bce6f61,ontogenia,P1,project2_16_b17ef6d19c,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_011_1905237ce0e6,ontogenia,P1,project2_1_6b86b273ff,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_012_f5ffe69b1cc3,ontogenia,P1,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_013_d77b38205d84,ontogenia,P1,project2_MusicS_6f198445eb,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_014_3449ebd7bf6e,ontogenia,P1,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P1/seed_42,prompt_hash differs,6,0,6,true,true,true,verified
a2_015_8a81fed7623d,ontogenia,P1,project2_FestS_76555d3566,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_016_f2566d33a253,ontogenia,P1,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P1/seed_42,prompt_hash differs,5,0,5,true,true,true,verified
a2_017_074f7c6496b8,ontogenia,P1,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_018_cebd0df2c218,ontogenia,P2,project2_12_6b51d431df,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_019_b0a48623c41d,ontogenia,P2,project2_5_ef2d127de3,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P2/seed_42,prompt_hash differs,3,0,3,true,true,true,verified
a2_020_bc7db25b57cc,ontogenia,P2,project2_11_4fc82b26ae,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_021_9ef2cd62cf15,ontogenia,P2,project2_6_e7f6c01177,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_022_14d75f9bdf03,ontogenia,P2,project2_3_4e07408562,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_023_e1f49216b35f,ontogenia,P2,project2_4_4b227777d4,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_024_e77ddba2fc66,ontogenia,P2,project2_15_e629fa6598,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_025_0c9b541fc676,ontogenia,P2,project2_2_d4735e3a26,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_026_2289b67d436b,ontogenia,P2,project2_14_8527a891e2,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_027_6918208838f3,ontogenia,P2,project2_16_b17ef6d19c,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_028_ca76f005cce8,ontogenia,P2,project2_1_6b86b273ff,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P2/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_029_5c794484e8eb,ontogenia,P2,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P2/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_030_19f91eef4240,ontogenia,P2,project2_MusicS_6f198445eb,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_031_eec4fb7dbc03,ontogenia,P2,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P2/seed_42,prompt_hash differs,6,0,6,true,true,true,verified
a2_032_3015093280bc,ontogenia,P2,project2_FestS_76555d3566,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_033_95890f77aa83,ontogenia,P2,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P2/seed_42,prompt_hash differs,5,0,5,true,true,true,verified
a2_034_d5692f0bcd64,ontogenia,P2,project2_HospitalS_37f96aff7d,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P2/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_035_717a7f7fd2df,domain-ontogen,P1,project2_12_6b51d431df,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_036_4b8b357a649b,domain-ontogen,P1,project2_5_ef2d127de3,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P1/seed_42,prompt_hash differs,3,0,3,true,true,true,verified
a2_037_383595a2f896,domain-ontogen,P1,project2_11_4fc82b26ae,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_038_e4e774a758e3,domain-ontogen,P1,project2_6_e7f6c01177,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_039_7955b6eba8d2,domain-ontogen,P1,project2_3_4e07408562,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_040_a07336234b48,domain-ontogen,P1,project2_4_4b227777d4,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_041_703e09a77564,domain-ontogen,P1,project2_15_e629fa6598,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_042_e35dfaf2fb38,domain-ontogen,P1,project2_2_d4735e3a26,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_043_18c0009187ee,domain-ontogen,P1,project2_14_8527a891e2,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_044_7fbae47382c3,domain-ontogen,P1,project2_16_b17ef6d19c,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_045_eca0e2fd80e6,domain-ontogen,P1,project2_1_6b86b273ff,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P1/seed_42,prompt_hash differs,1,0,1,true,true,true,verified
a2_046_3fae13fba713,domain-ontogen,P1,project2_Sage_1_WHOW_1b070153f1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P1/seed_42,prompt_hash differs,2,0,2,true,true,true,verified
a2_047_fe78c19e7ae0,domain-ontogen,P1,project2_MusicS_6f198445eb,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
a2_048_f04851af735a,domain-ontogen,P1,project2_Sophia_3_Reorchestration_71392573d4,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P1/seed_42,prompt_hash differs,6,0,6,true,true,true,verified
a2_049_146a06eeed53,domain-ontogen,P1,project2_FestS_76555d3566,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P1/seed_42,prompt_hash differs,15,0,15,true,true,true,verified
